origin,time,path,method,size,status_code
ppp8.montrealnet.ca,1995-08-01 00:05:16,/shuttle/missions/sts-70/mission-sts-70.html,GET,20224,200
slip4086.sirius.com,1995-08-01 00:05:18,/images/MOSAIC-logosmall.gif,GET,363,200
slip4086.sirius.com,1995-08-01 00:05:18,/software/winvn/winvn.gif,GET,25218,200
slip4086.sirius.com,1995-08-01 00:05:18,/images/KSC-logosmall.gif,GET,1204,200
ppp8.montrealnet.ca,1995-08-01 00:05:19,/shuttle/missions/sts-70/sts-70-patch-small.gif,GET,5978,200
133.43.96.45,1995-08-01 00:05:20,/shuttle/missions/sts-57/sts-57-patch-small.gif,GET,11988,200
village.islandnet.com,1995-08-01 00:05:21,/shuttle/missions/sts-68/images/ksc-upclose.gif,GET,86984,200
slip4086.sirius.com,1995-08-01 00:05:22,/images/USA-logosmall.gif,GET,234,200
slip4086.sirius.com,1995-08-01 00:05:23,/images/WORLD-logosmall.gif,GET,669,200
204.248.155.42,1995-08-01 00:05:30,/images/,GET,17688,200
haraway.ucet.ufl.edu,1995-08-01 00:05:30,/shuttle/missions/sts-71/movies/movies.html,GET,3381,200
uplherc.upl.com,1995-08-01 00:05:32,/shuttle/missions/sts-71/images/KSC-95EC-0948.jpg,GET,92477,200
204.248.155.42,1995-08-01 00:05:32,/icons/menu.xbm,GET,527,200
204.248.155.42,1995-08-01 00:05:32,/icons/image.xbm,GET,509,200
piweba3y.prodigy.com,1995-08-01 00:05:32,/shuttle/missions/sts-71/images/images.html,GET,8529,200
204.248.155.42,1995-08-01 00:05:35,/icons/blank.xbm,GET,509,200
piweba4y.prodigy.com,1995-08-01 00:05:35,/history/apollo/apollo-13/apollo-13-patch-small.gif,GET,12859,200
js002.cc.utsunomiya-u.ac.jp,1995-08-01 00:05:35,/shuttle/missions/sts-70/mission-sts-70.html,GET,20224,200
ppp8.montrealnet.ca,1995-08-01 00:05:36,/images/launch-logo.gif,GET,1713,200
ppp8.montrealnet.ca,1995-08-01 00:05:36,/history/apollo/images/apollo-logo1.gif,GET,1173,200
van10271.direct.ca,1995-08-01 00:05:49,/software/winvn/winvn.html,GET,9866,200
133.43.96.45,1995-08-01 00:05:51,/shuttle/missions/sts-57/mission-sts-57.html,GET,11508,200
van10271.direct.ca,1995-08-01 00:05:51,/software/winvn/winvn.gif,GET,25218,200
van10271.direct.ca,1995-08-01 00:05:51,/images/construct.gif,GET,1414,200
van10271.direct.ca,1995-08-01 00:05:51,/software/winvn/bluemarb.gif,GET,4441,200
js002.cc.utsunomiya-u.ac.jp,1995-08-01 00:05:52,/shuttle/missions/sts-70/sts-70-patch-small.gif,GET,5978,200
134.h-pm2.vgs3.westel.com,1995-08-01 00:05:53,/software/winvn/winvn.html,GET,9866,200
134.h-pm2.vgs3.westel.com,1995-08-01 00:05:55,/software/winvn/winvn.gif,GET,25218,200
134.h-pm2.vgs3.westel.com,1995-08-01 00:05:55,/software/winvn/bluemarb.gif,GET,4441,200
134.h-pm2.vgs3.westel.com,1995-08-01 00:05:55,/images/construct.gif,GET,1414,200
ix-dfw12-08.ix.netcom.com,1995-08-01 00:05:55,/software/winvn/userguide/wvnguide.html,GET,5998,200
134.h-pm2.vgs3.westel.com,1995-08-01 00:05:57,/software/winvn/wvsmall.gif,GET,13372,200
ix-dfw12-08.ix.netcom.com,1995-08-01 00:05:57,/software/winvn/userguide/wvnguide.gif,GET,4151,200
haraway.ucet.ufl.edu,1995-08-01 00:05:58,/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg,GET,887988,200
van10271.direct.ca,1995-08-01 00:06:00,/software/winvn/wvsmall.gif,GET,13372,200
133.43.96.45,1995-08-01 00:06:00,/facilities/lc39a.html,GET,7008,200
ix-dfw12-08.ix.netcom.com,1995-08-01 00:06:02,/software/winvn/userguide/winvnsm.gif,GET,3293,200
van10271.direct.ca,1995-08-01 00:06:05,/images/KSC-logosmall.gif,GET,1204,200
sutnbgw1.ed.noda.sut.ac.jp,1995-08-01 00:06:05,/ksc.html,GET,7280,200
van10271.direct.ca,1995-08-01 00:06:08,/images/MOSAIC-logosmall.gif,GET,363,200
